userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language
3178fd38c5e95e948a576fdd16db3e66ca8fde6b07d438cc530cfe38dadf146d,3178fd38c5e95e948a576fdd16db3e66ca8fde6b07d438cc530cfe38dadf146d,3178fd38c5e95e948a576fdd16db3e66ca8fde6b07d438cc530cfe38dadf146d,Egypt,السياسة // التاريخ,,6,40,2015-12-24,en
09c3b6feef2625474374066b50ebc77942a667bdfa14c7d17d2f209a501fd79b,09c3b6feef2625474374066b50ebc77942a667bdfa14c7d17d2f209a501fd79b,09c3b6feef2625474374066b50ebc77942a667bdfa14c7d17d2f209a501fd79b,USA,No great man ever complains of want of opportunities.,,27,154,2014-08-27,en
4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en
bc0e4b8acab34ac8c1a6c32a66d95e901a6853b2d2ed1511f51646226890767e,bc0e4b8acab34ac8c1a6c32a66d95e901a6853b2d2ed1511f51646226890767e,bc0e4b8acab34ac8c1a6c32a66d95e901a6853b2d2ed1511f51646226890767e,"Columbia, SC",,,120,305,2013-08-05,en
13feee98d73c6a156e12430bad573832b1b6e1693c5fa3ce5f53f1efa4f11605,13feee98d73c6a156e12430bad573832b1b6e1693c5fa3ce5f53f1efa4f11605,13feee98d73c6a156e12430bad573832b1b6e1693c5fa3ce5f53f1efa4f11605,Санкт-Петербург,Мой сын открывает мне мир занова,,136,137,2014-05-04,ru
e5d256008fb79a97b655a4d0a9db0b5f5abbf303ec85bbf1ed997ca4e6d3eb08,e5d256008fb79a97b655a4d0a9db0b5f5abbf303ec85bbf1ed997ca4e6d3eb08,e5d256008fb79a97b655a4d0a9db0b5f5abbf303ec85bbf1ed997ca4e6d3eb08,USA,Expect the best. Prepare for the worst. Capitalize on what comes,,117,125,2013-07-23,en
df79ab9b63d1b7e342d2a8a48f5cfc7f518c17a40842b2eaabe9f176b48d95ee,df79ab9b63d1b7e342d2a8a48f5cfc7f518c17a40842b2eaabe9f176b48d95ee,df79ab9b63d1b7e342d2a8a48f5cfc7f518c17a40842b2eaabe9f176b48d95ee,Germany,Freier Fall,,9,41,2015-12-07,de
d6f0615523c7ebcb729e00d102921946754680ab141051dfc1ad93554ee44bb9,d6f0615523c7ebcb729e00d102921946754680ab141051dfc1ad93554ee44bb9,d6f0615523c7ebcb729e00d102921946754680ab141051dfc1ad93554ee44bb9,Москва,Студент экономист аж из самого МГУ!,,671,1959,2014-03-23,ru
db8870ae7140429737e6dfaf6aa0ead80c0cfdc19a75fd513d299f41ef36edbe,db8870ae7140429737e6dfaf6aa0ead80c0cfdc19a75fd513d299f41ef36edbe,db8870ae7140429737e6dfaf6aa0ead80c0cfdc19a75fd513d299f41ef36edbe,"Brunswick, ME, USA",I believe in playing role rather than cursing the stage.,,2,151,2017-03-19,en
f2215826ea0408c582fae99a4d27cfa5c91e43b92789e33f2e4c12d75d1fa2ff,f2215826ea0408c582fae99a4d27cfa5c91e43b92789e33f2e4c12d75d1fa2ff,f2215826ea0408c582fae99a4d27cfa5c91e43b92789e33f2e4c12d75d1fa2ff,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,2147,3489,2017-08-26,en
